category,distance,duration,nearby_places,title,url
 Wildlife,6 Kms,1-2 Hours,None,Jaipur Zoo,/rajasthan/jaipur/jaipur-zoo
 Heritage,6 Kms,1-2 Hours,None,Nahargarh Fort,/rajasthan/jaipur/nahargarh-fort
 Heritage,13 Kms,2-3 Hours,"Jaigarh Fort (1 km by walk), Srijagat Siromaniji Temple (500m), Panna Meena ka Kund (1 km) & Jama Masjid / Akbari Mosque - Amer (1 km) are sitauted near Amer Fort and can be visited together.",Amer Fort / Amber Fort,/rajasthan/jaipur/amer-fort-amber-fort
 Pilgrimage,6 Kms,1-2 Hours,None,Birla Mandir,/rajasthan/jaipur/birla-mandir
 Heritage,6 Kms,30 Mins,None,Hawa Mahal,/rajasthan/jaipur/hawa-mahal
 Heritage,9 Kms,30 Mins,None,Maharani Ki Chhatri,/rajasthan/jaipur/maharani-ki-chhatri
 Pilgrimage,6 Kms,30 Mins,None,Moti Dungri Ganesh Temple,/rajasthan/jaipur/moti-dungri-ganesh-temple
 Park,11 Kms,1 Hour,None,Kanak Vrindavan Garden,/rajasthan/jaipur/kanak-vrindavan-garden
 Heritage,5.5 Kms,1-2 Hours,"Hawa Mahal (One the edge of City Palace), Jantar Mantar (adjacent to City Palace), Govind Devji Temple (Inside City Palace Complex), Sargasuli Tower / Isar Lat (Near Tripolia Gate of City Palace) can be visited along with City Palace.",City Palace / Sawai Man Singh II Museum,/rajasthan/jaipur/city-palace-sawai-man-singh-ii-museum
 Pilgrimage,6.5 Kms,1-2 Hours,None,Akshardham Temple,/rajasthan/jaipur/akshardham-temple
 Heritage,14 Kms,30 Mins,None,Panna Meena Ka Kund,/rajasthan/jaipur/panna-meena-ka-kund
 Heritage,5.5 Kms,1 Hour,This is UNESCO World Heritage Site,Jantar Mantar,/rajasthan/jaipur/jantar-mantar
 Pilgrimage,11 Kms,1-2 Hours,None,Khole Ke Hanuman Ji Temple,/rajasthan/jaipur/khole-ke-hanuman-ji-temple
" Heritage, Museum",6 Kms,1-2 Hours,None,Albert Hall Museum,/rajasthan/jaipur/albert-hall-museum
 Pilgrimage,7 Kms,30 Mins,None,Garh Ganesh Temple,/rajasthan/jaipur/garh-ganesh-temple
 Heritage,11 Kms,1 Hour,"Maharani ki Chhatri (1 km from Jal Mahal), Kanak Vrindavan Garden (1 km from Jal Mahal) can be visited along with Jal Mahal.",Jal Mahal,/rajasthan/jaipur/jal-mahal
" Heritage, Pilgrimage",13.5 Kms,30 Mins,None,Jama Masjid / Akbari Mosque - Amer,/rajasthan/jaipur/jama-masjid-akbari-mosque-amer
 Heritage,6 Kms,1 Hour,"This is currently a private hotel, but visitors are allowed to take a tour of the palace.",Rambagh Palace,/rajasthan/jaipur/rambagh-palace
 Park,4 Kms,1 Hour,None,Central Park,/rajasthan/jaipur/central-park
 Heritage,15 Kms,1-2 Hours,This is usually visited from Amer Fort (1 km by walk),Jaigarh Fort,/rajasthan/jaipur/jaigarh-fort
 Park,13 Kms,1-2 Hours,None,Jawahar Circle Garden,/rajasthan/jaipur/jawahar-circle-garden
 Heritage,7 Kms,1 Hour,None,Maharaja Ki Chhatri / Gaitor,/rajasthan/jaipur/maharaja-ki-chhatri-gaitor
 Heritage,4 Kms,30 Mins,None,Statue Circle / Sawai Jai Singh Circle,/rajasthan/jaipur/statue-circle-sawai-jai-singh-circle
 Pilgrimage,14 Kms,2 Hours,None,ISKCON Temple,/rajasthan/jaipur/iskcon-temple
 Heritage,40 Kms,4 Hours/Half Day,None,Samode Palace / Samode Bagh,/rajasthan/jaipur/samode-palace-samode-bagh
 Heritage,5 Kms,15 Mins or Less,None,Sargasuli Tower / Isar Lat,/rajasthan/jaipur/sargasuli-tower-isar-lat
" Heritage, Pilgrimage",14 Kms,30 Mins,None,Srijagat Siromaniji Temple,/rajasthan/jaipur/srijagat-siromaniji-temple
 Museum,14 Kms,2 Hours,None,Anokhi Museum Of Hand Printing,/rajasthan/jaipur/anokhi-museum-of-hand-printing
 Heritage,5 Kms,30 Mins,None,Amar Jawan Jyoti,/rajasthan/jaipur/amar-jawan-jyoti
" Heritage, Pilgrimage",14.5 Kms,2 Hours,None,Digamber Jain Mandir Sanghiji,/rajasthan/jaipur/digamber-jain-mandir-sanghiji
" Heritage, Pilgrimage",7 Kms,30 Mins,None,Govind Devji Temple,/rajasthan/jaipur/govind-devji-temple
 Museum,1 Kms,1 Hour,None,SRC Museum Of Indology,/rajasthan/jaipur/src-museum-of-indology
